user_id,date,event,revenue
1,2025-06-15,visit,
1,2025-06-15,add_to_cart,
1,2025-08-05,visit,
1,2025-08-05,add_to_cart,
1,2025-08-05,purchase,10.83
1,2025-06-27,visit,
1,2025-06-27,add_to_cart,
1,2025-12-25,visit,
2,2025-04-18,visit,
2,2025-07-15,visit,
2,2025-10-24,visit,
2,2025-09-09,visit,
2,2025-04-29,visit,
2,2025-04-29,add_to_cart,
2,2025-02-14,visit,
2,2025-12-17,visit,
2,2025-11-01,visit,
2,2025-11-01,add_to_cart,
2,2025-11-01,purchase,50.35
2,2025-12-13,visit,
2,2025-12-13,add_to_cart,
2,2025-12-13,purchase,16.2
3,2025-11-18,visit,
3,2025-11-18,add_to_cart,
3,2025-11-18,purchase,50.84
3,2025-01-17,visit,
3,2025-01-17,add_to_cart,
3,2025-08-07,visit,
3,2025-10-04,visit,
3,2025-01-04,visit,
4,2025-12-23,visit,
4,2025-12-23,add_to_cart,
4,2025-12-23,purchase,56.57
4,2025-10-23,visit,
4,2025-10-23,add_to_cart,
4,2025-05-21,visit,
4,2025-05-21,add_to_cart,
4,2025-08-20,visit,
4,2025-08-20,add_to_cart,
5,2025-06-29,visit,
5,2025-06-29,add_to_cart,
5,2025-06-29,purchase,13.51
5,2025-01-22,visit,
5,2025-01-22,add_to_cart,
5,2025-08-15,visit,
5,2025-08-04,visit,
5,2025-04-13,visit,
5,2025-10-12,visit,
6,2025-12-19,visit,
6,2025-12-02,visit,
6,2025-12-29,visit,
7,2025-04-27,visit,
7,2025-12-28,visit,
7,2025-03-08,visit,
7,2025-03-08,add_to_cart,
7,2025-03-08,purchase,11.33
7,2025-10-24,visit,
7,2025-10-24,add_to_cart,
7,2025-08-14,visit,
7,2025-08-14,add_to_cart,
7,2025-07-18,visit,
7,2025-07-18,add_to_cart,
7,2025-11-22,visit,
7,2025-11-07,visit,
7,2025-12-25,visit,
8,2025-09-09,visit,
8,2025-09-09,add_to_cart,
8,2025-02-18,visit,
8,2025-10-05,visit,
8,2025-05-13,visit,
8,2025-05-13,add_to_cart,
8,2025-10-20,visit,
8,2025-10-20,add_to_cart,
8,2025-10-20,purchase,51.1
8,2025-05-18,visit,
8,2025-05-18,add_to_cart,
8,2025-05-18,purchase,63.64
8,2025-04-08,visit,
9,2025-11-11,visit,
10,2025-10-28,visit,
10,2025-07-08,visit,
10,2025-07-08,add_to_cart,
10,2025-07-08,purchase,26.71
10,2025-05-08,visit,
10,2025-02-16,visit,
10,2025-02-16,add_to_cart,
10,2025-02-16,purchase,61.35
10,2025-08-12,visit,
10,2025-12-17,visit,
10,2025-03-05,visit,
10,2025-03-05,add_to_cart,
10,2025-10-03,visit,
10,2025-10-29,visit,
11,2025-12-24,visit,
12,2025-02-08,visit,
12,2025-02-15,visit,
12,2025-02-15,add_to_cart,
12,2025-02-15,purchase,87.2
12,2025-04-21,visit,
12,2025-07-12,visit,
12,2025-10-18,visit,
13,2025-02-12,visit,
13,2025-02-12,add_to_cart,
13,2025-02-12,purchase,129.72
14,2025-03-10,visit,
14,2025-07-07,visit,
14,2025-01-10,visit,
14,2025-01-10,add_to_cart,
14,2025-01-10,purchase,37.9
14,2025-03-26,visit,
14,2025-03-26,add_to_cart,
14,2025-06-26,visit,
14,2025-08-06,visit,
14,2025-12-12,visit,
14,2025-08-24,visit,
14,2025-08-24,add_to_cart,
14,2025-08-24,purchase,30.94
14,2025-11-21,visit,
14,2025-10-13,visit,
14,2025-10-13,add_to_cart,
14,2025-10-21,visit,
